businessId,name
2896110-2,Clewat Oy
2894205-9,Jauhe Oy
2884760-9,SmartSite Oy
2882972-6,WOW WAUW Oy LTD
2878727-1,Mixan Tecno Oy
2877429-4,Kurko Crane Oy Ltd
2875360-2,AquaPartners Oy
2875437-3,Technobug Oy
2870209-8,ScandMachine Oy
2862330-6,Nokka Europe Oy
2847998-1,Robotech Oy
2845610-6,RoyceBot Oy
2845634-1,Tammela Robotics Oy
2845156-7,INDUSTRYPROF FINLAND Oy
2841894-3,Elstor Oy
2841899-4,Afstor Oy
2838995-1,Glaston Emerging Technologies Oy
2837662-4,AGRI-Biotech Oy
2821390-5,Finnish Clearwater Company FCC Ltd Oy
2820260-8,Calefa Technologies Oy
2814719-4,LinerSol Oy
2812939-1,Mekorak Engineering Oy
2811294-4,Haptronics Oy
2805378-8,Teollisuuspalvelu Uotila Oy
2804565-7,MK KINETICS Oy
2805104-5,Starkice Oy
2800894-4,Ecohel Oy
2792302-4,JMC Solutions Oy
2790693-7,Lapela Technology Oy
2790641-9,Sewer John Oy
2791082-1,Picote Solutions Oy Ltd
2790336-5,Leena Ylönen Innovation Oy
2790001-7,Avant Wood Oy
2789878-9,Rotozi Oy
2786206-5,Veli-Pekka Räikkä Oy
2780363-9,Teuvo Tuote Oy
2776845-8,Carbofex Oy
2776133-6,JH Innovations Oy
2773668-3,JATEPA OY
2765441-8,XCSKIFLEX Oy
2764635-4,Jumeva Oy
2754819-9,Octomeca Oy
2754967-7,JH Turnkey Solution OY
2754108-5,Flexman Oy
2753388-6,Biocone Oy
2751878-2,Puistotien speed Etana-paino Oy
2748344-4,Innorent Production Oy
2736234-3,Nekos Oy
2729806-2,Move Automation Oy
2727552-2,Langh Tech Oy Ab
2723841-4,IXOLIFT Oy
2723256-5,Javli Oy
2712062-7,Veimart Oy
2708799-4,Uutechnic Oy
2707564-3,Malliveistämö Muotopuoli Oy
2699693-4,Ginolis Tools Oy
2698586-4,Aquator Service Oy
2696061-6,RollTest Measurements and Controls Oy
2693412-7,Etelä-Suomen Konepaja Oy
2689974-7,Jarobo Solutions Oy
2683281-7,Ecosir Group Oy
2679305-3,Retema Oy
2674622-2,Endeas Oy
2659527-6,Artwave Surf Oy
2659600-9,Powerbyte Oy
2638536-7,Cencorp Automation Oy
2624427-3,Langh Service Oy Ab
2620195-1,Polar device oy
2619730-7,AEM Finland Oy
2615710-2,Marens Oy
2614274-4,Tiira Robotics Oy
2612795-8,Refinec Oy
2607262-7,Magsort Oy
2591156-4,Hicut Oy
2589215-6,Aquamarine Robots Oy
2589532-2,4Maint Oy
2588058-5,Oy Equine Innovations Ltd
2561144-9,Eko-Erotus Oy
2558762-9,Bassettec Oy
2558485-8,Fuel Dynamics Corporation Oy
2554244-7,Akaan Työvälinepalvelu Oy
2552063-5,Finn-Savotta Systems Oy
2549410-7,TyTec Oy
2549411-5,LNGinside Oy
2548049-3,HB Technologies Oy
2542187-2,Tekno-Ants Oy
2540124-9,Elpek Oy
2536719-1,Logister Group Oy
2532923-2,Online HPLC Oy
2530864-2,Bio JJJJ Oy
2524247-9,Kehäjäte Oy
2524397-3,Smartgrip Oy
2513587-6,SÄÄTÖKUIVAUS OY
2512679-3,Groserwise Systems Oy
2507781-3,Bio Collection Oy
2499072-3,SamSteel OY
2498353-1,Kone Kuusisto Oy
2493072-0,Nordic Wire Oy
2482697-4,IPI medicine tech Oy
2474572-8,Saraka Oy
2472903-1,Consair Oy
2472232-3,Tormets Oy
2472233-1,Stormet Oy
2467108-7,JAK-METALLI OY
2457875-5,TOP-LAT Oy
2456406-2,Holasel Oy
2449138-5,Reiskone Oy
2440133-5,TerCo Engineering Oy
2426101-0,Jarutec Oy
2425330-1,Jylhävaara Oy
2393336-4,Precia Making Oy
2392386-0,JT THERMO STEEL OY
2382231-4,Paragraph Ltd Oy
2374114-3,Tieseiska Oy
2370827-1,RKT Solutions Oy
2362683-1,Lebigem Oy
2357638-7,Cajo Technologies Oy
2346434-2,Custom Products Oy
2345684-4,Wapulec Oy
2336184-5,Ab Allt-tec Oy
2327689-4,Jorma H Oy
2326239-6,Suomen Ekoenergia Oy
2314870-2,I-Kone Oy
2310520-0,JK Hakkurit Oy
2302138-1,Jostec Oy
2300244-7,EffMag Oy
2299125-5,Oy Petsmo Products Ab
2291889-1,Proxion Tech Oy
2290612-9,Kivini Consulting Oy
2279150-1,HEGLA TaiFin Glass Machinery Oy
2277620-5,PMJ dietech Oy
2276385-0,Polarforce Oy
2273967-4,ETEKOM Oy
2266996-0,EDRC Technologies Oy
2265580-9,Stairon Oy
2248788-4,Esmatec Oy
2240471-9,KKI Koneasennus Oy
2239153-2,Oy Euroroll Ab
2236318-7,Mietko Oy
2234958-8,Ciron Oy
2228554-5,Mekpa Oy
2221376-0,Tepalmet Oy
2221862-5,Dewaco Oy
2220399-2,J & M Kunnossapitoasennus Oy
2216608-7,Kemexport Oy
2213350-9,Marketing and Communication Oy Mac Ltd.
2213501-0,Oy FOUTAS Ab
2213027-9,Trex Automation Oy
2206365-1,Spets-Master Finland Oy
2205839-3,Betamet Oy
2202932-2,EPE-Automation Oy
2201216-8,OM-Tekniikka Oy
2197370-9,GD Power Oy
2192972-4,Urjala Engineering Oy
2189345-0,JTN-Mekan Oy
2186651-6,TriAnna Oy
2184203-9,SteamMotor Finland Oy Ab Ltd
2182801-8,VMS-Innovations OY
2183219-9,Bluefors Oy
2181081-1,Metecno Oy
2167341-5,Deccan Oy
2161913-6,MaintPoint Oy
2161684-0,JPT-Industria Oy
2150277-1,Grönmark Filtration Oy
2142347-5,Hydrauliikka- ja laitepalvelu JUMIT Oy
2136742-6,Autorobot Finland Oy
2134727-3,Geonex Oy
2132009-7,Protopaja Oy
2125078-9,Woodneste Oy
2117323-4,stONE Finland Oy
2111958-8,Kaptas Oy
2111263-4,Handysept Oy
2110782-7,Kahur Oy
2109439-2,Ouplast Oy
2107858-7,Oy Alius Ab
2106094-2,Hämeen Keskusvalmistus Oy
2097099-5,MaJa Mill Service Oy
2081705-0,NewIcon Oy
2071450-2,LCP Industry Oy
2069112-8,Finnomec Oy
2065988-1,Servicepoint Kuopio Oy
2049046-5,Honkasähkö Oy
2044123-3,Finn-Form Oy
2041235-2,TNK Electric Oy
2040349-9,IS-Pro Oy
2030274-3,PP-Metal Oy
2029607-2,SteelMet Oy
2018125-9,AESSEAL Flow Oy
2016189-9,Innomold Oy
2016260-5,Eppos Oy
2008924-1,Sedia Consulting Oy
2004466-8,Ficon Oy
1998495-1,All-Weather SnowTek Oy
1988579-3,Mallikoneistus J. Mattsson Oy
1971413-4,KTA Paper Oy
1970711-0,Fibratus Oy
1969879-5,Robotmation Oy
1961308-5,Singulase Oy
1956337-2,Beneq Group Oy
1953903-0,Toijalan Rauta ja Kone Oy
1953904-9,Hortisteel Oy
1945243-7,Raiselift Oy
1928131-6,Konepaja Aho Oy
1925936-2,Constru Oy
1910559-0,Bindtec Oy
1908943-9,AESSEAL Finland Oy
1905546-6,Salon Järjestelmätoimitukset Oy
1898404-4,Pelletti-imurit Vanhala Oy
1893921-9,Extor Oy
1891204-0,Ecocat International Oyj
1890109-3,Latek Oy
1876586-1,HPP Bulk Technologies Oy
1864769-7,Insinööritoimisto Tampereen Hienomekaniikka Oy
1864294-1,Tanacorp Oy
1859510-2,Jartek Oy
1859513-7,Jartek Invest Oy
1848947-3,Kurikan Hykoteam Oy
1839737-6,KTS-MEKANO Oy
1839386-9,Hesesteel Oy
1829516-9,Custom Metals Oy
1806437-9,Oy PME-Trading Ltd
1799953-5,Konepaja Laikko Oy
1799580-9,Action Wind Oy
1799241-3,Kunnossapito Kukkonen Oy
1798836-9,Corob Oy
1796291-9,Carbon Power Oy
1789138-0,Vector-IT Oy
1786890-6,Osateos Oy
1774821-8,A5 PLATE MEDIA OY
1763615-2,Betamet Airtech Oy
1740067-6,Microbot Oy
1739898-3,Linjalaite OY
1736485-5,Huoltotyö Jose Oy
1717346-9,Ab Holmstedt Oy
1711165-5,Photonium Oy
1707140-3,RASIN VIRKKU Oy
1705845-2,JPY Asennus Oy
1702502-8,Marttiini Metal Oy
1654054-6,Norin Saha Oy
1652932-0,Rollresearch International Oy
1651686-1,Oplatek Oy
1657753-3,Maillefer Extrusion Oy
1638592-9,Costimera Oy
1637967-6,MJT-Hanke Oy
1637388-0,Toijala Works Oy
1624120-4,Greenvironment Oy
1620199-0,Procemex Oy
1617500-8,Factotel Oy
1612737-2,Steerprop Oy
1607929-4,Nurmijärven tuppeen sahattu koivu Oy
1605716-7,Oy Ecopulp Ltd
1600731-1,MAT-Service Oy
1585099-9,Adwatec Oy
1572379-7,Tretekno Oy
1569870-4,CNC-Ohjelmointi Järvenpää Oy
1568009-6,Fidotech Oy
1563364-4,Aquapro Suomi Oy
1551522-6,Citam Assembly Automatics Oy
1543891-0,Ekowell Oy
1543170-0,Wemigroup Oy
1535675-5,Konepaja Ketola Oy
1527254-3,Forsis Oy
1525853-0,Mulotek Oy
1517479-1,Wirefinn Oy
1509803-9,TRV-Osat Oy
1507705-1,Fastems Oy Ab
1462970-7,CAD Milling LA Oy
1460339-8,AJP-Tekniikka Oy
1446846-4,Wemicomp Oy
1110395-3,Glaston Finland Oy
1109209-4,Hammeri Oy
1107359-8,Mecania Automation Oy
1106368-0,JMC Engine Oy
1106277-6,RK-Ferro Oy
1106143-1,Volter Oy
1102965-0,J Base-Engineering Oy
1102365-4,Tradesto Finland Oy
1098095-4,Biofire Oy
1087688-2,Majavan Metalli Oy
1078309-6,Järnberg-Automaatio Oy
1077528-0,Loviisan Teollisuusputki Oy
1076477-6,Tuomo Halonen Oy
1066055-5,Asennuspalvelu Urmia Oy
1062005-1,Teas Oy
1060222-4,Teräsrakenne J. Haapio Oy
1054430-0,Hirsimäen Taltta Oy
1044081-9,Heikki Pätäri Oy
1043512-0,IK-Palvelut Oy
1043549-7,Tammermatic Oy
1043555-0,Larikka Oy
1040080-9,Kennotyö Oy
1037455-9,Länsi-Uudenmaan korjaus- ja konepalvelu Oy
1033383-7,AMADA Automation Europe Oy
1026318-9,Peverk OY
1025515-4,Siipotec Oy
1019021-5,Wivatrade Oy
1017762-7,Oy Scanhall Ab
1014992-5,Kasins Oy
1014155-2,Oy SF-Cabin Ltd
1008799-8,Paha Parturi Oy
1007628-7,Kongsberg Maritime Finland OY
1005879-1,AVS-Asennus Oy
1005455-5,RAKO-Koneet Oy
1002856-8,Komiku Oy
0999558-5,Projektipalvelu P Silvasti Oy
0998422-9,Teräsjokeri Oy
0989498-7,Tammer-Pem & M Oy
0986669-5,Purso-Tools Oy
0984767-0,Ama-Saw Oy
0984053-2,Firstdoor Oy
0983553-0,Auraosa Oy
0982401-4,Teknoscale Oy
0982402-2,Foilpoint Oy
0976133-2,Miilux Oy
0974709-8,Finerko Oy
0970794-2,Joko-Järjestelmä Oy
0961524-7,Heidi Kanerva Oy
0956461-1,Oy Desinfinator Ltd
0953625-8,Parkanon Tehdaspalvelu Oy
0952876-8,PKO Kylmälaitteet Oy
0952232-3,Plymac Oy
0952092-6,Viitos-Metalli Oy
0950900-6,Konecranes Service Oy
0948273-9,Yhteistyö-Kiinteistöt Oy
0936926-9,Compomec Oy
0935408-3,Insinööritoimisto Rantek Oy
0933067-1,Uutechnic Oy
0930347-0,Tampereen Laatu-Stanssi Oy
0928526-8,Trameta Oy
0920413-0,Virjosvuo Yhtiöt Oy
0917958-8,Tanreco Oy
0916568-8,Creamaster Oy
0916365-8,Polimade Oy
0915306-2,Aqua Clean Oy
0914593-5,Mafo Oy
0913479-3,Dynamic Stage Systems - DSS Oy
0911348-2,Oy Enersa Ltd Polyurethane technology
0910414-8,MS-Konepaja Oy
0909796-1,Sotem Oy
0906083-5,EP Snetec Oy
0905391-8,Oy Transkont Logistik Ab
0900329-1,Airia Oy
0894764-5,Pohjaranta Oy
0891159-7,Tikka-System Oy
0889348-0,Fiberflow Oy
0884345-9,Diopteri Oy
0882659-5,Mecano Group Oy
0882469-6,TP-Yhtiöt Oy
0882509-0,Mirion Technologies (RADOS) Oy
0881293-5,PV-Muotti Oy
0871225-6,Peikko Technology Center Oy
0870102-0,Heat Tec Uunitekniikka Oy
0863574-8,Artekenno Oy
0857581-0,DeMACH Oy
0856914-6,Satasteel Oy
0853422-6,Selotek Oy
0849319-6,Octomeca Oy
0836662-1,Extron Engineering Oy
0836114-2,Kymijoen Projektipalvelut Oy
0833203-4,Ficote Oy
0832560-0,Uskintek Oy
0826485-2,Valkon Metalli Oy
0810012-9,Bonecon Oy
0807521-8,Pohjolan Mittarihuolto Oy
0801116-9,ASR-Team Oy
0797571-6,Turun Asennusteam Oy
0797324-3,Sail-Steel Oy
0791997-6,Oy DT Paper Science Ab
0790127-4,Helmek Oy
0773956-1,DCA Instruments Oy
0772412-4,V-H Työkalu Oy
0756595-2,Omaisuushuolto Astex Invest Oy
0755929-6,Ring-Jet Oy
0750488-5,Yaskawa Finland Oy
0749606-1,Valoe Oyj
0745735-3,Nummelan Muotti Oy
0745345-9,Tamflow Oy
0739402-2,Pieksämäen El-Mek Oy
0727303-6,V. Hakkarainen Oy
0725624-4,RP-Tuotanto Oy
0724167-5,Hansa-Magnets Oy
0721696-3,Westem Oy
0719653-6,Twoy Engineering Oy
0714215-9,Idea Machine Oy
0710601-9,JOT Automation Oy
0709881-3,Rannikon Konetekniikka Oy
0695040-2,BWT Separtec Oy
0681178-7,Rosendahl Nextrom Oy
0666986-4,Elokuvakonepaja Oy
0666993-6,THK-Engineering Oy
0667050-7,Ipeka Automation Oy
0666580-4,Jehitek Oy
0660454-2,Somertekno Oy
0656327-7,Keski-Suomen Koneistamo Oy
0652341-9,Jartek Mekano Oy
0646963-5,NTP-Yhtymä Oy
0645171-8,Turengin Erikoiskone Oy
0643590-2,Enekos Oy
0634322-3,Laitex Oy
0625561-0,Avalance Oy
0622785-5,Petsa-Service Oy
0620561-3,Salomet Oy
0620743-2,Sasmetor Oy
0621458-7,DEWACO OY
0621538-7,Pesutekno Oy
0616448-7,Kotkan Metallityöt Oy
0616453-2,Nipema Oy
0614960-7,Oy Supek Ab
0606562-2,Erpico Oy
0602385-2,Valimomalli Kaski Oy
0600551-5,Porin Konetekniikka Oy
0593587-6,Seinäjoen Kaukolämpöeriste Oy
0584681-4,Korpi-Muotti Oy
0584042-0,Autorobot Finland Oy
0580218-4,Hydol Oy
0566447-1,TP-Stokeri Oy
0557554-0,Seinäjoen Laatuvaruste Oy
0557560-4,Rannan Teollisuuskone Oy
0555008-7,Industri-Textil Job Oy
0549737-8,Dust Control Systems Oy
0546024-1,Tammelan Metallituote Oy
0519739-1,Länsirannikon Prosessiasentajat Oy
0518444-3,Keracomp Oy
0511071-9,Ekolaite Oy
0499300-3,Formeca Oy
0499816-2,Oy Elsotek Ab
0494187-9,Porin Muoto-Stanssi Oy
0478952-0,Peltolan Metalli Oy
0451119-0,Nomlet Oy
0451192-4,Tormets Oy
0420436-9,Rautekno Oy
0415248-2,VTP-hienomekaaninen Konepaja Oy
0413615-9,Oy Meclift Ltd
0366372-3,E Kangas Oy
0361641-7,Heljanko Yhtiöt Oy
0350706-9,Jostec Oy
0307781-2,Haukkakangas Oy
0306269-6,Malli-Kiviset Oy
0306326-9,Teca Oy
0297535-4,Saalasti Oy
0297806-1,Fastbind Maping Oy
0276121-7,Oy Telenik Ab
0250245-0,Keimolan Kone Oy
0236900-4,Oy Autotank Ab
0219299-0,Painokonehuolto A. Hartikainen Oy
0216455-1,AP-Konepaja Oy
0204899-9,Laite-Saraka Oy
0100623-6,Esteri Pesulakoneet Oy
0110175-1,Koneteollisuus Oy
0112344-0,Ovitor Oy
0130092-9,Trendpak Oy
0140648-3,Auran Metalli Oy
0145952-6,Metsi Oy
0149224-6,Muottipojat ja Sementti Oy
0152893-1,Pohjois-Hämeen Asentajat Oy
0159469-9,I-Kone Oy
0162133-5,Roxia Oy
0167223-9,Rautaseiska Oy
0174600-7,Touru-Pojat Oy
